"","Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place"
"220","Adam Henson","M","SBD","Wraps",22,"20-23","M-OR",106.6,"110",275,285,290,NA,290,140,147.5,-152.5,NA,147.5,-270,270,-285,NA,270,707.5,"13"
"221","Adrian Ng","M","SBD","Wraps",34,"24-34","M-OR",88.4,"90",175,187.5,-195,NA,187.5,-110,-120,120,NA,120,205,220,225,NA,225,532.5,"15"
"222","Aidan Ruja","M","SBD","Wraps",42,"40-44","M-OR",91.3,"100",195,-200,-200,NA,195,95,107.5,115,NA,115,195,210,-220,NA,210,520,"25"
"223","Alex Biasin","M","SBD","Wraps",47,"45-49","M-OR",108.7,"110",-160,160,175,NA,175,125,130,137.5,NA,137.5,150,170,-180,NA,170,482.5,"32"
"224","Alex Deken","M","SBD","Wraps",23,"20-23","M-OR",108.8,"110",280,-305,305,NA,305,190,205,NA,NA,205,280,305,-312.5,NA,305,815,"3"
"225","Alex Powell","M","SBD","Wraps",25,"24-34","M-OR",76.3,"82.5",225,240,250,NA,250,-125,125,130,NA,130,255,275,280,NA,280,660,"7"
"226","Alex Scott","M","SBD","Wraps",23,"20-23","M-OR",110,"110",225,230,235,NA,235,150,NA,NA,NA,150,225,230,235,NA,235,620,"23"
"227","Allan Todd","M","SBD","Wraps",60,"60-64","M-OR",99.9,"100",180,192.5,200.5,NA,200.5,100,110,115,NA,115,200,217.5,NA,NA,217.5,532.5,"24"
"228","Andrew Davitt","M","SBD","Wraps",39,"35-39","M-OR",138.6,"140",240,260,-270,NA,260,140,155,162.5,NA,162.5,245,265,272.5,NA,272.5,695,"7"
"229","Andy Hargreaves","M","SBD","Wraps",27,"24-34","M-OR",148.3,"140+",-310,320,-335,NA,320,170,180,-185,NA,180,265,277.5,285,NA,285,785,"5"
"230","Andrew Lance","M","SBD","Wraps",28,"24-34","M-OR",74.9,"75",190,200,210,NA,210,135,140,142.5,NA,142.5,250,-265,-270,NA,250,602.5,"3"
"231","Andrew Van Blommestein","M","SBD","Wraps",24,"24-34","M-OR",99,"100",190,-210,-210,NA,190,100,-107.5,-107.5,NA,100,180,200,NA,NA,200,490,"27"
"232","Andy Davis","M","SBD","Wraps",24,"24-34","M-OR",125.1,"140",240,-255,255,NA,255,150,157.5,165,NA,165,270,285,-300,NA,285,705,"5"
"233","Anthony Clarke","M","SBD","Wraps",48,"45-49","M-OR",117.8,"125",200,-220,220,NA,220,140,155,-160,NA,155,240,260,-275,NA,260,635,"12"
"234","Anthony Cooke","M","SBD","Wraps",19,"18-19","M-OR",82.1,"82.5",175,-202.5,-202.5,NA,175,117.5,125,-127.5,NA,125,170,185,-192.5,NA,185,485,"24"
"235","Anthony Vloedmans","M","SBD","Wraps",29,"24-34","M-OR",99.6,"100",220,235,-245,NA,235,130,137.5,-145,NA,137.5,265,-285,-290,NA,265,637.5,"13"
"236","Asher Wearing","M","SBD","Wraps",26,"24-34","M-OR",67.2,"67.5",120,130,-140,NA,130,90,-97.5,-97.5,NA,90,160,172.5,180,NA,180,400,"3"
"237","Atreyu Wilkinson","M","SBD","Wraps",21,"20-23","M-OR",94,"100",190,210,-225,NA,210,135,145,-152.5,NA,145,260,-280,-280,NA,260,615,"15"
"238","Ben Hussell","M","SBD","Wraps",26,"24-34","M-OR",98.3,"100",170,-180,-180,NA,170,115,122.5,-130,NA,122.5,170,190,-207.5,NA,190,482.5,"28"
"239","Ben Senden","M","SBD","Wraps",18,"18-19","M-OR",81.3,"82.5",205,215,227.5,NA,227.5,120,130,132.5,NA,132.5,230,245,255,NA,255,615,"12"
"240","Ben Wright #1","M","SBD","Wraps",21,"20-23","M-OR",89.9,"90",245,265,275,NA,275,-147.5,147.5,-155,NA,147.5,245,265,NA,NA,265,687.5,"5"
"241","Benn Bromley","M","SBD","Wraps",23,"20-23","M-OR",96.8,"100",255,270,282.5,NA,282.5,157.5,170,-175,NA,170,235,255,-262.5,NA,255,707.5,"9"
"242","Billy Chan","M","SBD","Wraps",29,"24-34","M-OR",87.8,"90",-275,-275,-275,NA,NA,-190,190,-202.5,NA,190,-275,NA,NA,NA,NA,NA,"DQ"
"243","Brandon Greco","M","SBD","Wraps",22,"20-23","M-OR",97,"100",205,215,220,NA,220,125,-132.5,-132.5,NA,125,230,245,260,NA,260,605,"18"
"244","Brett Carruthers","M","SBD","Wraps",29,"24-34","M-OR",78.9,"82.5",185,195,210,NA,210,110,120,127.5,NA,127.5,210,225,237.5,NA,237.5,575,"16"
"245","Bryce Cleary","M","SBD","Wraps",45,"45-49","M-OR",81.8,"82.5",215,230,-235,NA,230,150,162.5,167.5,-170,167.5,220,230,-237.5,NA,230,627.5,"9"
"246","Callan Hayward","M","SBD","Wraps",26,"24-34","M-OR",67.2,"67.5",200,215,-230,NA,215,145.5,152.5,-160,NA,152.5,210,225,232.5,NA,232.5,600,"2"
"247","Cameron Harris","M","SBD","Wraps",22,"20-23","M-OR",87.6,"90",187.5,202.5,212.5,NA,212.5,115,125,-132.5,NA,125,200,215,225,NA,225,562.5,"12"
"248","Carl Skudder","M","SBD","Wraps",28,"24-34","M-OR",125.6,"140",-290,290,300,NA,300,180,190,200,NA,200,290,300,-305,NA,300,800,"3"
"249","Chan Hee Kim","M","SBD","Wraps",19,"18-19","M-OR",74.1,"75",150,160,165,NA,165,125,-132.5,135,-140,135,225,-240,240,NA,240,540,"10"
"250","Charlie Evans","M","SBD","Wraps",15,"13-15","M-OR",155.4,"140+",135,145,155,165,155,95,102.5,-110,NA,102.5,190,205,220,-232.5,220,477.5,"7"
"251","Chris Fisher","M","SBD","Wraps",25,"24-34","M-OR",109.7,"110",230,250,265,NA,265,155,160,-165,NA,160,230,260,280,NA,280,705,"14"
"252","Chris Lepp","M","SBD","Wraps",22,"20-23","M-OR",79.9,"82.5",210,220,225,NA,225,130,140,142.5,NA,142.5,230,240,250,NA,250,617.5,"11"
"253","Chris Newbery","M","SBD","Wraps",25,"24-34","M-OR",81.5,"82.5",205,220,227.5,NA,227.5,130,140,145,NA,145,225,240,-250,NA,240,612.5,"14"
"254","Chris Stamatiou","M","SBD","Wraps",25,"24-34","M-OR",74.2,"75",255,275,290,NA,290,160,170,175,NA,175,270,285,-295,NA,285,750,"1"
"255","Colin Skelly","M","SBD","Wraps",30,"24-34","M-OR",125.5,"140",160,172.5,182.5,NA,182.5,-117.5,117.5,-127.5,NA,117.5,210,227.5,-235,NA,227.5,527.5,"15"
"256","Corey Wolski","M","SBD","Wraps",21,"20-23","M-OR",106.7,"110",210,220,230,NA,230,110,117.5,-122.5,NA,117.5,220,235,245,NA,245,592.5,"24"
"257","Cory Burrrows","M","SBD","Wraps",29,"24-34","M-OR",120.7,"125",290,310,NA,NA,310,165,175,-185,NA,175,320,340,355,-365,355,840,"3"
"258","Damian Rohrlach","M","SBD","Wraps",31,"24-34","M-OR",87.8,"90",192.5,-200,-200,NA,192.5,-115,115,-125,NA,115,185,200,210,NA,210,517.5,"19"
"259","Daniel America","M","SBD","Wraps",31,"24-34","M-OR",129.3,"140",255,272.5,280,NA,280,170,-180,180,NA,180,275,290,302.5,NA,302.5,762.5,"4"
"260","Daniel Blandford","M","SBD","Wraps",25,"24-34","M-OR",98.4,"100",260,270,272.5,NA,272.5,160,170,175,NA,175,280,290,305,NA,305,752.5,"4"
"261","Daniel Kranitz","M","SBD","Wraps",19,"18-19","M-OR",102.8,"110",210,222.5,-230,NA,222.5,115,-125,-125,NA,115,215,-235,235,NA,235,572.5,"28"
"262","Dan Mason #2","M","SBD","Wraps",24,"24-34","M-OR",121.7,"125",265,-272.5,272.5,NA,272.5,105,107.5,-110,NA,107.5,250,257.5,260,NA,260,640,"11"
"263","Daniel Menz","M","SBD","Wraps",28,"24-34","M-OR",78.4,"82.5",185,200,-205,NA,200,112.5,120,125,NA,125,195,207.5,212.5,NA,212.5,537.5,"19"
"264","Daniel Smale","M","SBD","Wraps",32,"24-34","M-OR",118.1,"125",250,265,-275,NA,265,145,155,-157.5,NA,155,250,260,270,NA,270,690,"8"
"265","Danny Saelam Barrett","M","SBD","Wraps",14,"13-15","M-OR",134.5,"140",190,212.5,220,NA,220,120,130,132.5,NA,132.5,200,220,230,NA,230,582.5,"13"
"266","Darren Hancey","M","SBD","Wraps",28,"24-34","M-OR",108.4,"110",260,272.5,280,NA,280,150,160,-165,NA,160,260,275,280,NA,280,720,"10"
"267","Darwin Suteerawanit","M","SBD","Wraps",19,"18-19","M-OR",89.6,"90",265,-285,285,NA,285,155,165,NA,NA,165,290,310,-325,NA,310,760,"3"
"268","David Madeley","M","SBD","Wraps",54,"50-54","M-OR",89.2,"90",-155,155,170,NA,170,125,132.5,137.5,NA,137.5,200,222.5,230.5,NA,230.5,537.5,"13"
"269","David Wenman","M","SBD","Wraps",27,"24-34","M-OR",59.2,"60",110,120,-125,NA,120,60,65,NA,NA,65,145,155,160,-175.5,160,345,"1"
"270","Dean Illguth","M","SBD","Wraps",34,"24-34","M-OR",109.7,"110",240,255,267.5,NA,267.5,210,222.5,227.5,NA,227.5,245,260,270,NA,270,765,"5"
"271","Dillion Satchell","M","SBD","Wraps",22,"20-23","M-OR",123.8,"125",-240,240,250,NA,250,135,142.5,-147.5,NA,142.5,255,270,-287.5,NA,270,662.5,"10"
"272","Drew Spriggs","M","SBD","Wraps",26,"24-34","M-OR",107.1,"110",185,200,210,NA,210,115,122.5,-127.5,NA,122.5,200,215,-225,NA,215,547.5,"29"
"273","Dylan Hart","M","SBD","Wraps",25,"24-34","M-OR",89.6,"90",270,-277.5,-277.5,NA,270,157.5,-165,-165,NA,157.5,285,-302.5,NA,NA,285,712.5,"4"
"274","Dylan Smouha","M","SBD","Wraps",26,"24-34","M-OR",97,"100",240,245,270,NA,270,150,-157.5,-157.5,NA,150,245,260,-275,NA,260,680,"10"
"275","Edward Owens","M","SBD","Wraps",23,"20-23","M-OR",95.9,"100",220,245,-252.5,NA,245,145,155,-165,NA,155,230,255,270,NA,270,670,"11"
"276","Eldene Smith","M","SBD","Wraps",29,"24-34","M-OR",82.2,"82.5",245,260,-272.5,NA,260,170,180,185,NA,185,270,290,-310,NA,290,735,"3"
"277","Emad Nayef","M","SBD","Wraps",38,"35-39","M-OR",82.4,"82.5",245,260,267.5,NA,267.5,120,125,130,NA,130,240,252.5,262.5,NA,262.5,660,"8"
"278","Firas El Achkar","M","SBD","Wraps",22,"20-23","M-OR",109.8,"110",305,325,332.5,NA,332.5,160,-167.5,-167.5,NA,160,350,-390,-390,NA,350,842.5,"2"
"279","Fitim Xhemajlaj","M","SBD","Wraps",25,"24-34","M-OR",106.5,"110",225,245,260,NA,260,160,170,180,NA,180,225,240,260,NA,260,700,"16"
"280","Grant Woodcock","M","SBD","Wraps",29,"24-34","M-OR",100,"100",200,215,-225,NA,215,140,-147.5,-150,NA,140,255,-265,-265,NA,255,610,"17"
"281","Harvard Ye","M","SBD","Wraps",21,"20-23","M-OR",74.9,"75",200,217.5,-225,NA,217.5,110,120,-127.5,NA,120,217.5,232.5,242.5,NA,242.5,580,"6"
"282","Hayden Cook","M","SBD","Wraps",18,"18-19","M-OR",98.8,"100",-250,-250,-260,NA,NA,150,162.5,-165,NA,162.5,NA,NA,NA,NA,NA,NA,"DQ"
"283","Henry Cook","M","SBD","Wraps",26,"24-34","M-OR",85.6,"90",160,170,-190,NA,170,130,140,147.5,NA,147.5,190,210,-222.5,NA,210,527.5,"17"
"284","Iveni Tuitupou","M","SBD","Wraps",32,"24-34","M-OR",139.5,"140",290,305,-320,NA,305,195,207.5,212.5,NA,212.5,280,300,-310,NA,300,817.5,"2"
"285","Jackson Murrie","M","SBD","Wraps",21,"20-23","M-OR",98.3,"100",320,350,-360,NA,350,175,-190,-190,NA,175,280,305,-320,NA,305,830,"1"
"286","Jake Fisher","M","SBD","Wraps",23,"20-23","M-OR",123.7,"125",262.5,282.5,300.5,NA,300.5,75,NA,NA,NA,75,75,NA,NA,NA,75,450,"16"
"287","James Milla","M","SBD","Wraps",23,"20-23","M-OR",78.2,"82.5",160,-175,180,NA,180,90,97.5,-102.5,NA,97.5,195,210,220,NA,220,497.5,"21"
"288","James Yammine","M","SBD","Wraps",18,"18-19","M-OR",100,"100",-255,260,-275,NA,260,130,140,150,NA,150,275,300,-307.5,NA,300,710,"8"
"289","Jarrod Earle","M","SBD","Wraps",19,"18-19","M-OR",99.9,"100",-265,265,280,NA,280,157.5,167.5,170,NA,170,265,280,-282.5,NA,280,730,"6"
"290","Jarrod Gould","M","SBD","Wraps",26,"24-34","M-OR",105.6,"110",-220,220,-225,NA,220,130,-145,-145,NA,130,225,240,-245,NA,240,590,"25"
"291","Jarrod Slatter","M","SBD","Wraps",22,"20-23","M-OR",80.5,"82.5",160,-170,170,NA,170,95,-102.5,-102.5,NA,95,190,205,-210,NA,205,470,"26"
"292","Jason Gillespie","M","SBD","Wraps",42,"40-44","M-OR",124.5,"125",250,270,277.5,NA,277.5,172.5,182.5,192.5,NA,192.5,245,260,NA,NA,260,730,"7"
"293","Jason Lay","M","SBD","Wraps",18,"18-19","M-OR",109.3,"110",140,160,180,NA,180,105,115,-125,NA,115,180,200,-205,NA,200,495,"31"
"294","Jason Pagan","M","SBD","Wraps",32,"24-34","M-OR",99.9,"100",-227.5,-227.5,227.5,NA,227.5,130,137.5,142.5,NA,142.5,240,250,255,NA,255,625,"14"
"295","Jason Sciacca","M","SBD","Wraps",36,"35-39","M-OR",88.3,"90",255,265,-275,NA,265,145,155,-160,NA,155,255,265,-270,NA,265,685,"6"
"296","Jeremy Lopez","M","SBD","Wraps",17,"16-17","M-OR",97.8,"100",190,195,-205,NA,195,105,-112.5,-112.5,NA,105,195,205,-210,NA,205,505,"26"
"297","Jess Furner","M","SBD","Wraps",29,"24-34","M-OR",79.9,"82.5",170,185,192.5,NA,192.5,90,-97.5,-97.5,NA,90,170,190,-195,NA,190,472.5,"25"
"298","Jesse Markopoulos","M","SBD","Wraps",21,"20-23","M-OR",71.4,"75",195,205,212.5,NA,212.5,117.5,122.5,-125,NA,122.5,195,207.5,-215,NA,207.5,542.5,"8"
"299","John Sheridan","M","SBD","Wraps",26,"24-34","M-OR",139.1,"140",230,252.5,260,NA,260,145,-152.5,-152.5,NA,145,235,-255,255,NA,255,660,"8"
"300","Jonathon Dickman","M","SBD","Wraps",20,"20-23","M-OR",80.7,"82.5",135,145,155,NA,155,100,-107.5,-107.5,NA,100,160,167.5,175,NA,175,430,"28"
"301","Jordan Brown","M","SBD","Wraps",23,"20-23","M-OR",82.2,"82.5",-245,245,-255,NA,245,155,165,-170.5,NA,165,245,260,267.5,NA,267.5,677.5,"5"
"302","Jordan Chadwick","M","SBD","Wraps",20,"20-23","M-OR",74.2,"75",170,182.5,190,NA,190,120,-127.5,127.5,NA,127.5,190,205,217.5,NA,217.5,535,"11"
"303","Jordan Humble","M","SBD","Wraps",16,"16-17","M-OR",88.4,"90",150,165,172.5,NA,172.5,95,105,-110,NA,105,185,192.5,195,NA,195,472.5,"21"
"304","Joseph Tupu","M","SBD","Wraps",26,"24-34","M-OR",106.3,"110",240,257.5,-270,NA,257.5,145,155,-162.5,NA,155,265,280,300,NA,300,712.5,"11"
"305","Josh Tait","M","SBD","Wraps",28,"24-34","M-OR",116.9,"125",300,-320,320,NA,320,210,225,230,NA,230,300,-310,322.5,NA,322.5,872.5,"2"
"306","Joshua Doyle","M","SBD","Wraps",28,"24-34","M-OR",88.5,"90",160,175,185,NA,185,120,125,-130,NA,125,195,210,215,NA,215,525,"18"
"307","Joshua Rayson","M","SBD","Wraps",19,"18-19","M-OR",104,"110",255,-270,270,NA,270,160,165,170,NA,170,240,250,260,NA,260,700,"15"
"308","Joshua Wiseman","M","SBD","Wraps",30,"24-34","M-OR",99,"100",-260,277.5,290,NA,290,170,177.5,NA,NA,177.5,285,300,-310,NA,300,767.5,"2"
"309","Josiah Malouf","M","SBD","Wraps",28,"24-34","M-OR",89.7,"90",235,250,260,NA,260,145,-152.5,-152.5,NA,145,255,267.5,-275,NA,267.5,672.5,"7"
"310","Justin Faella","M","SBD","Wraps",30,"24-34","M-OR",73.8,"75",150,162.5,-172.5,NA,162.5,-100,-100,NA,NA,-100,212.5,220,-227.5,NA,220,NA,"DQ"
"311","Kevin Huang","M","SBD","Wraps",19,"18-19","M-OR",89.8,"90",150,160,167.5,NA,167.5,77.5,85,-90,NA,85,172.5,185,197.5,NA,197.5,450,"23"
"312","Kevin Yuan","M","SBD","Wraps",20,"20-23","M-OR",89.4,"90",80,NA,NA,NA,80,-180,-180,-180,NA,NA,-75,NA,NA,NA,NA,NA,"DQ"
"313","Kobi Gumkowski","M","SBD","Wraps",14,"13-15","M-OR",71.1,"75",100,110,125,-130,125,55,62.5,-70,NA,62.5,120,135,145,150,145,332.5,"13"
"314","Kristos Papanotis","M","SBD","Wraps",20,"20-23","M-OR",67.3,"67.5",265,-285,-285,NA,265,-140,140,NA,NA,140,287.5,-317.5,NA,NA,287.5,692.5,"1"
"315","Kurt Patrick","M","SBD","Wraps",27,"24-34","M-OR",97.4,"100",225,240,-250,NA,240,120,130,-137.5,NA,130,220,230,240,NA,240,610,"16"
"316","Lawrence Johnson","M","SBD","Wraps",25,"24-34","M-OR",145.6,"140+",280,305,315,NA,315,150,165,180,NA,180,280,305,310,NA,310,805,"3"
"317","Les Grills","M","SBD","Wraps",27,"24-34","M-OR",74.5,"75",245,265,-280,NA,265,180,-190.5,-190.5,NA,180,265,-285,-285,NA,265,710,"2"
"318","Liam Turner","M","SBD","Wraps",14,"13-15","M-OR",67.5,"67.5",115,125,135,NA,135,65,75,-80,NA,75,120,135,-150,NA,135,345,"5"
"319","Linus Lim","M","SBD","Wraps",22,"20-23","M-OR",82.3,"82.5",285,300,305,NA,305,152.5,160,165,NA,165,265,282.5,285,NA,285,755,"1"
"320","Lloyd Betzel","M","SBD","Wraps",21,"20-23","M-OR",137.7,"140",185,195,205,NA,205,132.5,-137.5,-140,NA,132.5,190,200,207.5,NA,207.5,545,"14"
"321","Luciano Castorina","M","SBD","Wraps",28,"24-34","M-OR",80.8,"82.5",130,145,160,NA,160,75,82.5,90,NA,90,155,167.5,180,NA,180,430,"29"
"322","Luke Peressini","M","SBD","Wraps",28,"24-34","M-OR",99.8,"100",260,280,290,NA,290,155,165,175,NA,175,270,292.5,300,NA,300,765,"3"
"323","Luke Poli","M","SBD","Wraps",37,"35-39","M-OR",130,"140",310,330,-350,NA,330,140,160,180,NA,180,292.5,307.5,317.5,NA,317.5,827.5,"1"
"324","Luke Poli Jnr","M","SBD","Wraps",14,"13-15","M-OR",62.8,"67.5",90,100,110,NA,110,45,55,65,NA,65,100,120,-137.5,NA,120,295,"6"
"325","Mark Vidic","M","SBD","Wraps",23,"20-23","M-OR",101.6,"110",250,272.5,NA,NA,272.5,140,152.5,-160,NA,152.5,250,-275,-275,NA,250,675,"18"
"326","Marlon Tormunen","M","SBD","Wraps",35,"35-39","M-OR",99.6,"100",-175,175,-187.5,NA,175,135,147.5,152.5,NA,152.5,210,225,235,NA,235,562.5,"23"
"327","Matt Stopel","M","SBD","Wraps",25,"24-34","M-OR",136.4,"140",220,235,245,NA,245,152.5,157.5,-162.5,NA,157.5,240,255,-270,NA,255,657.5,"9"
"328","Matthew Gorle","M","SBD","Wraps",23,"20-23","M-OR",82.4,"82.5",175,187.5,-200,NA,187.5,-105,-112.5,112.5,NA,112.5,175,192.5,-200,NA,192.5,492.5,"22"
"329","Matt Stenzel","M","SBD","Wraps",25,"24-34","M-OR",89.9,"90",290,-310,310,NA,310,190,-200,-200,NA,190,275,295,302.5,-318,302.5,802.5,"1"
"330","Matthew Vogele","M","SBD","Wraps",25,"24-34","M-OR",106,"110",190,210,220,NA,220,110,120,-130,NA,120,205,225,235,NA,235,575,"27"
"331","Matthew Waldron","M","SBD","Wraps",45,"45-49","M-OR",101.5,"110",100,NA,NA,NA,100,120,130,-140,NA,130,260,280,290,300,290,520,"30"
"332","Matty Te Paea","M","SBD","Wraps",32,"24-34","M-OR",108,"110",260,-280,280,NA,280,150,157.5,160,NA,160,255,265,270,NA,270,710,"12"
"333","Max Harris","M","SBD","Wraps",60,"60-64","M-OR",77.9,"82.5",105,117.5,-125,NA,117.5,82.5,87.5,90,NA,90,135,150,-155,NA,150,357.5,"31"
"334","Max Markopoulos","M","SBD","Wraps",23,"20-23","M-OR",82,"82.5",265,280,290,NA,290,165,172.5,-177.5,NA,172.5,260,275,-292.5,NA,275,737.5,"2"
"335","Michael Aichholzer","M","SBD","Wraps",54,"50-54","M-OR",108.3,"110",220,232.5,-240.5,NA,232.5,-180.5,180.5,-193,NA,180.5,220,232.5,-242.5,NA,232.5,645,"19"
"336","Michael Houbert","M","SBD","Wraps",22,"20-23","M-OR",79.3,"82.5",210,-222.5,222.5,NA,222.5,135,142.5,147.5,NA,147.5,220,232.5,242.5,NA,242.5,612.5,"13"
"337","Michael Vergotis","M","SBD","Wraps",24,"24-34","M-OR",82.3,"82.5",255,270,277.5,NA,277.5,165,175,-180,NA,175,260,-272.5,NA,NA,260,712.5,"4"
"338","Mike Elmes","M","SBD","Wraps",27,"24-34","M-OR",97,"100",200,220,230,NA,230,115,122.5,-130,NA,122.5,190,205,220,NA,220,572.5,"21"
"339","Nathan Anthony","M","SBD","Wraps",25,"24-34","M-OR",76,"82.5",220,235,245,NA,245,-140,140,-147.5,NA,140,240,-255,-255,NA,240,625,"10"
"340","Nathan Daveson","M","SBD","Wraps",35,"35-39","M-OR",121.5,"125",260,-280,280,NA,280,210,225,232.5,238,232.5,-310,-320,320,NA,320,832.5,"4"
"341","Nathan Jones","M","SBD","Wraps",37,"35-39","M-OR",108,"110",80,NA,NA,NA,80,195,205,-207.5,NA,205,305,330,340,NA,340,625,"21"
"342","Nathan McArthur","M","SBD","Wraps",28,"24-34","M-OR",95.3,"100",195,-207.5,215,NA,215,120,127.5,-135,NA,127.5,220,232.5,247.5,NA,247.5,590,"20"
"343","Nathan Meredith","M","SBD","Wraps",28,"24-34","M-OR",116.9,"125",200,210,220,NA,220,100,-110,-110,NA,100,220,235,245,NA,245,565,"14"
"344","Nathan Robards","M","SBD","Wraps",22,"20-23","M-OR",79.5,"82.5",140,150,160,NA,160,95,-105,-105,NA,95,235,245,-250,NA,245,500,"20"
"345","Nathan Whiles","M","SBD","Wraps",30,"24-34","M-OR",113.6,"125",230,250,260,NA,260,-180,180,-200,NA,180,-230,230,-260,NA,230,670,"9"
"346","Nicholas Churchward","M","SBD","Wraps",25,"24-34","M-OR",158.9,"140+",300,315,330,NA,330,170,180,-187.5,NA,180,300,307.5,-330,NA,307.5,817.5,"2"
"347","Nicholas Cowan","M","SBD","Wraps",29,"24-34","M-OR",89.2,"90",230,237.5,-242.5,NA,237.5,140,145,-150,NA,145,200,210,217.5,NA,217.5,600,"11"
"348","Nicholas Weir","M","SBD","Wraps",21,"20-23","M-OR",97.7,"100",230,245,255,NA,255,170,175,180,NA,180,280,300,-305,NA,300,735,"5"
"349","Nick Edlin","M","SBD","Wraps",33,"24-34","M-OR",95.8,"100",250,265,272.5,NA,272.5,120,NA,NA,NA,120,255,272.5,-280,NA,272.5,665,"12"
"350","Nick Viner","M","SBD","Wraps",17,"16-17","M-OR",87.8,"90",-160,165,177.5,NA,177.5,100,107.5,-112.5,NA,107.5,195,205,215,NA,215,500,"20"
"351","Ofir Birenbaum","M","SBD","Wraps",27,"24-34","M-OR",82.5,"82.5",235,-247.5,-247.5,NA,235,130,137.5,-140,NA,137.5,215,240,-252.5,NA,240,612.5,"15"
"352","Owen Brown","M","SBD","Wraps",37,"35-39","M-OR",109.3,"110",240,260,-265,NA,260,150,170,-180,NA,170,250,-270,-270,NA,250,680,"17"
"353","Patrick Brownlie","M","SBD","Wraps",22,"20-23","M-OR",77,"82.5",115,122.5,130,NA,130,100,110,117.5,NA,117.5,125,137.5,150,NA,150,397.5,"30"
"354","Patrick Sobecke","M","SBD","Wraps",35,"35-39","M-OR",154.7,"140+",-235,235,255,NA,255,165,175,182.5,NA,182.5,240,262.5,272.5,NA,272.5,710,"6"
"355","Paul Fuller","M","SBD","Wraps",23,"20-23","M-OR",109.5,"110",200,207.5,-215,NA,207.5,-130,-130,130,NA,130,220,240,-250,NA,240,577.5,"26"
"356","Paul Nay","M","SBD","Wraps",45,"45-49","M-OR",112.8,"125",-295,-295,-295,NA,NA,75,NA,NA,NA,75,340,360,-370,NA,360,NA,"DQ"
"357","Paul Thomas","M","SBD","Wraps",45,"45-49","M-OR",66.5,"67.5",140,145,-150,NA,145,75,-82.5,-82.5,NA,75,150,162.5,-172.5,NA,162.5,382.5,"4"
"358","Peter McLernon","M","SBD","Wraps",63,"60-64","M-OR",82.4,"82.5",-160,-160,160,NA,160,90,-102.5,102.5,NA,102.5,170,180,-185,NA,180,442.5,"27"
"359","Rhyss Keane","M","SBD","Wraps",25,"24-34","M-OR",124.8,"125",290,305,315,NA,315,200,210,-215,NA,210,315,335,350,NA,350,875,"1"
"360","Ricky Goodyear","M","SBD","Wraps",40,"40-44","M-OR",108.3,"110",315,335,-355,NA,335,200,210,217.5,NA,217.5,300,325,335,NA,335,887.5,"1"
"361","Robert Earl","M","SBD","Wraps",35,"35-39","M-OR",126.7,"140",220,240,-250,NA,240,130,140,-150,NA,140,220,240,250,NA,250,630,"11"
"362","Ryan Williams #1","M","SBD","Wraps",37,"35-39","M-OR",109.3,"110",265,280,285,NA,285,180,190,195,NA,195,260,270,280,NA,280,760,"6"
"363","Sam Nayef","M","SBD","Wraps",30,"24-34","M-OR",89,"90",225,-240,240,NA,240,115,125,130,NA,130,215,230,240,NA,240,610,"10"
"364","Sam Wallace","M","SBD","Wraps",19,"18-19","M-OR",139.7,"140",220,230,240,NA,240,132.5,137.5,-142.5,NA,137.5,230,242.5,250,NA,250,627.5,"12"
"365","Scott Carroll","M","SBD","Wraps",29,"24-34","M-OR",73.5,"75",170,185,200,NA,200,110,-120,-120,NA,110,200,220,232.5,NA,232.5,542.5,"9"
"366","Scott Murdoch","M","SBD","Wraps",32,"24-34","M-OR",88.9,"90",285,-305,305,NA,305,165,172.5,177.5,NA,177.5,290,-312.5,-320,NA,290,772.5,"2"
"367","Scott Wasson","M","SBD","Wraps",27,"24-34","M-OR",89.7,"90",80,NA,NA,NA,80,75,NA,NA,NA,75,292.5,317.5,-325,NA,317.5,472.5,"22"
"368","Sean Foran","M","SBD","Wraps",31,"24-34","M-OR",82.1,"82.5",185,195,-205,NA,195,112.5,120,-125,NA,120,222.5,235,242.5,NA,242.5,557.5,"18"
"369","Shane Ganter","M","SBD","Wraps",34,"24-34","M-OR",143.6,"140+",300,-330,-330,NA,300,205,-212.5,212.5,NA,212.5,300,-320,325,NA,325,837.5,"1"
"370","Stephen Allison","M","SBD","Wraps",26,"24-34","M-OR",137.6,"140",270,287.5,-300,NA,287.5,150,-157.5,-157.5,NA,150,250,265,-280,NA,265,702.5,"6"
"371","Steve Hampton","M","SBD","Wraps",46,"45-49","M-OR",105.7,"110",-225,-230,230,245,230,160,167.5,170,NA,170,220,235,NA,NA,235,635,"20"
"372","Steven Psaltis","M","SBD","Wraps",30,"24-34","M-OR",137.3,"140",-240,240,250,NA,250,110,120,-127.5,NA,120,270,287.5,-300,NA,287.5,657.5,"10"
"373","Stewart Blackwell","M","SBD","Wraps",25,"24-34","M-OR",89.8,"90",200,215,-222.5,NA,215,105,112.5,120,NA,120,195,-205,-205,NA,195,530,"16"
