"","Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place"
"118","Anna Bryant","F","SBD","Wraps",24,"24-34","F-OR",59.3,"60",100,-110,110,NA,110,67.5,-70,-70,NA,67.5,120,127.5,-132.5,NA,127.5,305,"9"
"119","Annie Short","F","SBD","Wraps",21,"20-23","F-OR",80.6,"82.5",150,162.5,170,NA,170,87.5,95,100,NA,100,180,192.5,202.5,NA,202.5,472.5,"1"
"120","Ashleigh Waldheim","F","SBD","Wraps",24,"24-34","F-OR",80.2,"82.5",190,-202.5,-202.5,NA,190,90,-92.5,-92.5,NA,90,170,180,-187.5,NA,180,460,"3"
"121","Belinda Azzopardi","F","SBD","Wraps",42,"40-44","F-OR",74.7,"75",105,115,-120,NA,115,57.5,-62.5,-62.5,NA,57.5,127.5,137.5,142.5,NA,142.5,315,"6"
"122","Belinda Ryder","F","SBD","Wraps",44,"40-44","F-OR",51.9,"52",110,120,-125,NA,120,55,57.5,60,NA,60,130,-142.5,142.5,NA,142.5,322.5,"2"
"123","Bianca Strahan","F","SBD","Wraps",32,"24-34","F-OR",57.5,"60",105,-112.5,-112.5,NA,105,52.5,-57.5,-57.5,NA,52.5,120,127.5,-132.5,NA,127.5,285,"12"
"124","Billa Hamilton","F","SBD","Wraps",27,"24-34","F-OR",67.2,"67.5",160,-172.5,-172.5,NA,160,95,102.5,-107.5,NA,102.5,165,-177.5,-187.5,NA,165,427.5,"2"
"125","Brooke Manz","F","SBD","Wraps",35,"35-39","F-OR",74.6,"75",110,125,-135,NA,125,55,-57.5,-57.5,NA,55,-105,115,-120,NA,115,295,"10"
"126","Caitlin Ross","F","SBD","Wraps",22,"20-23","F-OR",66.1,"67.5",100,107.5,-115,NA,107.5,50,-55,55,NA,55,115,130,-137.5,NA,130,292.5,"12"
"127","Carey Boyce","F","SBD","Wraps",37,"35-39","F-OR",59.6,"60",150,162.5,-170,NA,162.5,82.5,-90,-90,NA,82.5,160,175,-177.5,NA,175,420,"2"
"128","Carla Rizk","F","SBD","Wraps",21,"20-23","F-OR",88.1,"90",165,-170,-170,NA,165,100,-105,-105,NA,100,180,190,-202.5,NA,190,455,"1"
"129","Carmen Morrow","F","SBD","Wraps",33,"24-34","F-OR",66.7,"67.5",85,95,-105,NA,95,37.5,42.5,-47.5,NA,42.5,125,135,-142.5,NA,135,272.5,"13"
"130","Carolyn Ferrando","F","SBD","Wraps",35,"35-39","F-OR",149.2,"90+",150,160,170,NA,170,80.5,-87.5,-87.5,NA,80.5,150,160,-167.5,NA,160,410,"7"
"131","Cassie Morgan","F","SBD","Wraps",22,"20-23","F-OR",55.7,"56",117.5,125,130,NA,130,-70,70,-75,NA,70,152.5,162.5,170,NA,170,370,"1"
"132","Chloe Sims","F","SBD","Wraps",24,"24-34","F-OR",59.6,"60",125,135,140,NA,140,70,-77.5,-77.5,NA,70,127.5,135,140,NA,140,350,"7"
"133","Jaxson Wearing","F","SBD","Wraps",28,"24-34","F-OR",59.6,"60",120,-127.5,-130,NA,120,85,-90,-90,NA,85,145,152.5,157.5,NA,157.5,362.5,"6"
"134","Colleen Hourigan","F","SBD","Wraps",51,"50-54","F-OR",72.2,"75",95,-102.5,-105,NA,95,45,50,-55,NA,50,125,-135,135,NA,135,280,"12"
"135","Cynthia Sepulveda","F","SBD","Wraps",29,"24-34","F-OR",50.9,"52",90,97.5,105,NA,105,37.5,40,-45,NA,40,100,110,112.5,NA,112.5,257.5,"5"
"136","Dana Cruz","F","SBD","Wraps",20,"20-23","F-OR",80.4,"82.5",112.5,-122.5,130,NA,130,55,57.5,-60,NA,57.5,147.5,-155,155,NA,155,342.5,"9"
"137","Danielle Moody","F","SBD","Wraps",26,"24-34","F-OR",74.2,"75",110,120,-130,NA,120,65,-75,-75,NA,65,147.5,155,-162.5,NA,155,340,"4"
"138","Ebonie Lazdovskis","F","SBD","Wraps",19,"18-19","F-OR",63.8,"67.5",-125,125,-130,NA,125,55,-65,-65.5,NA,55,125,135,-140,NA,135,315,"9"
"139","Ebony Tharle","F","SBD","Wraps",17,"16-17","F-OR",73.2,"75",100,110,115,NA,115,-52.5,52.5,57.5,NA,57.5,120,130,-137.5,NA,130,302.5,"7"
"140","Eleisha Rogers","F","SBD","Wraps",24,"24-34","F-OR",71.1,"75",100,-110,115,NA,115,40,45,-50,NA,45,115,125,-130,NA,125,285,"11"
"141","Ellie Burscough","F","SBD","Wraps",28,"24-34","F-OR",74.8,"75",92.5,105,110,NA,110,-60,-67.5,-67.5,NA,NA,110,125,140,NA,140,NA,"DQ"
"142","Emma King","F","SBD","Wraps",29,"24-34","F-OR",59.1,"60",110,117.5,122.5,NA,122.5,60,65,-70,NA,65,135,145,-152.5,NA,145,332.5,"8"
"143","Erika Schlemmen","F","SBD","Wraps",52,"50-54","F-OR",82.3,"82.5",-70,-70,-70,NA,NA,37.5,40,-45,NA,40,70,80,90,NA,90,NA,"DQ"
"144","Esther Smithard","F","SBD","Wraps",48,"45-49","F-OR",63.7,"67.5",-110,110,120,NA,120,80,82.5,-85,NA,82.5,130,140,-145,NA,140,342.5,"8"
"145","Gee Lewis","F","SBD","Wraps",25,"24-34","F-OR",105.8,"90+",120,130,140,NA,140,55,60,NA,NA,60,125,137.5,142.5,NA,142.5,342.5,"10"
"146","Genevieve Vever","F","SBD","Wraps",50,"50-54","F-OR",63.5,"67.5",50,-55,55,NA,55,35,-40,-40,NA,35,60,80,-90,NA,80,170,"18"
"147","Jac Quarisa","F","SBD","Wraps",27,"24-34","F-OR",59.9,"60",122.5,130,137.5,NA,137.5,65,70,-75,NA,70,150,160,-167.5,NA,160,367.5,"5"
"148","Jackie Low","F","SBD","Wraps",33,"24-34","F-OR",51.5,"52",85,92.5,97.5,NA,97.5,50,-52.5,-52.5,NA,50,115,120,122.5,NA,122.5,270,"3"
"149","Jen Smith","F","SBD","Wraps",21,"20-23","F-OR",55.8,"56",105,112.5,120,NA,120,70,75,80,82.5,80,117.5,127.5,142.5,NA,142.5,342.5,"5"
"150","Jenn Schooten","F","SBD","Wraps",33,"24-34","F-OR",97.2,"90+",125,135,140,NA,140,60,65,70,NA,70,140,150,160,NA,160,370,"9"
"151","Jesse Saleh","F","SBD","Wraps",27,"24-34","F-OR",98.2,"90+",120,130,-135,NA,130,55,57.5,-60,NA,57.5,130,137.5,-142.5,NA,137.5,325,"11"
"152","Jiville Latu","F","SBD","Wraps",22,"20-23","F-OR",65.1,"67.5",-135,140,145,NA,145,62.5,67.5,-70,NA,67.5,137.5,150,155,NA,155,367.5,"5"
"153","Joanne Greagen","F","SBD","Wraps",33,"24-34","F-OR",65.9,"67.5",160,172.5,180,NA,180,85,90,-95,NA,90,160,172.5,180,NA,180,450,"1"
"154","Jodie Dohse","F","SBD","Wraps",43,"40-44","F-OR",87.9,"90",120,127.5,135,NA,135,65,70,-77.5,NA,70,120,130,140,NA,140,345,"6"
"155","Jodie Elisara","F","SBD","Wraps",33,"24-34","F-OR",142.7,"90+",-100,100,115,NA,115,65,70,-75,NA,70,60,NA,NA,NA,60,245,"12"
"156","Jody Dobush","F","SBD","Wraps",38,"35-39","F-OR",82.1,"82.5",110,125,-135,NA,125,80,90,-100,NA,90,153,160,170.5,175,170.5,385,"4"
"157","Josie Stanford","F","SBD","Wraps",29,"24-34","F-OR",103.4,"90+",150,157.5,165,NA,165,72.5,77.5,80,NA,80,172.5,182.5,-185,NA,182.5,427.5,"5"
"158","Julia Brown","F","SBD","Wraps",26,"24-34","F-OR",73.8,"75",125,135,-145,NA,135,70,-75,75,NA,75,125,135,140,NA,140,350,"3"
"159","Julie Shugg","F","SBD","Wraps",51,"50-54","F-OR",88.7,"90",70,-77.5,NA,NA,70,45,47.5,50,NA,50,90,100,107.5,NA,107.5,227.5,"9"
"160","Justine Baxter","F","SBD","Wraps",27,"24-34","F-OR",71.6,"75",120,130,-137.5,NA,130,-55,55,-60,NA,55,125,135,-140,NA,135,320,"5"
"161","Kat Becker","F","SBD","Wraps",31,"24-34","F-OR",81.8,"82.5",-180,180,195,NA,195,75,82.5,-85,NA,82.5,180,190,-202.5,NA,190,467.5,"2"
"162","Katie Walbank","F","SBD","Wraps",22,"20-23","F-OR",72.9,"75",90,100,-105,NA,100,45,-50,50,NA,50,-110,120,130,NA,130,280,"13"
"163","Kelly Preston","F","SBD","Wraps",34,"24-34","F-OR",131,"90+",-200,200,220,NA,220,65,70,75,NA,75,180,192.5,200,-210,200,495,"1"
"164","Kristie Owen","F","SBD","Wraps",34,"24-34","F-OR",148.6,"90+",140,155,170,NA,170,62.5,70,77.5,NA,77.5,140,152.5,165,NA,165,412.5,"6"
"165","Kristy Iervasi","F","SBD","Wraps",24,"24-34","F-OR",48,"48",100,105,-110,NA,105,52.5,-55,55,NA,55,100,105,107.5,NA,107.5,267.5,"2"
"166","Krystal Gagens","F","SBD","Wraps",23,"20-23","F-OR",58.6,"60",85,-95,-100,NA,85,40,-45,45,NA,45,80,90,100,NA,100,230,"18"
"167","Larnah Lowe","F","SBD","Wraps",29,"24-34","F-OR",80.8,"82.5",135,142.5,150,NA,150,65,-70,70,NA,70,140,150,-155,NA,150,370,"6"
"168","Laura Sgro","F","SBD","Wraps",24,"24-34","F-OR",57.9,"60",135,145,150,NA,150,90,95,-97.5,NA,95,120,135,-140,NA,135,380,"4"
"169","Laura Thorley","F","SBD","Wraps",22,"20-23","F-OR",59.5,"60",85,90,95,NA,95,-52.5,-57.5,-57.5,NA,NA,105,115,117.5,NA,117.5,NA,"DQ"
"170","Lauren Adams","F","SBD","Wraps",24,"24-34","F-OR",65.2,"67.5",75,85,95,NA,95,40,45,-50,NA,45,105,115,120,NA,120,260,"16"
"171","Leah Chandler","F","SBD","Wraps",36,"35-39","F-OR",85.1,"90",107.5,120,-127.5,NA,120,55,60,-65,NA,60,125,137.5,147.5,NA,147.5,327.5,"7"
"172","Lizzy Nevins","F","SBD","Wraps",20,"20-23","F-OR",81.6,"82.5",120,130,140,NA,140,57.5,65,-67.5,NA,65,135,145,-152.5,NA,145,350,"8"
